"Name","Mmax","Color","Spec. Type","R.A.","Dec.","R.A.'","Dec.'","v☉","vgal","Pbound","dL (kpc)"
"J1637+3631","-6.66241","-0.0147,-0.30379","","16:37:12.2146","+36:31:55.8776","-18.496","64.253","284710","284883","2.2746e-05","2.16067"
"J004330.06+405258.4","-21.778","2.2193","M2","00:43:30.06,00:43:30.0752","+40:52:58.4,+40:52:58.0831","0.304","-0.734","-630","2928.91","2.2746e-05","695.844"
"D6-1","-9.77065","0.4674","","16:37:31.674,16:37:31.674","-74:20:36.5949,-74:20:36.5949","-80.253","-195.91","1200","2467.26","2.2746e-05","2.37819"
"D6-3","-8.88202","0.4084","","18:52:01.885,18:52:01.885","+62:02:10.2031,+62:02:10.2031","8.981","211.455","-20","2341.28","2.2746e-05","2.35787"
"S5-HVS1","-13.6792","-0.0083","","22:54:51.6829","-51:11:44.1876","35.328","0.588","1017","1693.46","2.2746e-05","8.63488"
"HVS22","-14.4068","-0.0288,-0.20811","A, B","11:41:46.44,11:41:46.4444","+04:42:17.29,+04:42:17.2969","0.184","1.987","597.8","1410.53","0.000118295","85.0018"
"GaiaDR2 609705","-15.3911","0.5996","","14:01:26.2724","-45:24:05.5327","-61.096","-24.729","","1406.42","0.00031728","5.11053"
"D6-2","-8.23907","0.4027,0.13729","","21:38:26.9972,21:38:26.9972","+25:22:25.3614,+25:22:25.3614","98.385","240.352","20","1317.52","2.2746e-05","0.985965"
"HVS19","-14.8594","0.1041,-0.23872","A","11:35:17.75,11:35:17.7529","+08:02:01.49,+08:02:01.4263","-0.295","0.413","597,592.8","1161.63","2.2746e-05","97.8487"
"GaiaDR2 184245","-12.0568","1.2177","","20:50:02.1801","+24:00:47.8198","-131.96","-108.692","","1150.47","0.0436152","1.49775"
"HVS2","-11.4019","-0.5153,-0.51003","O, B, O8","09:33:20.86,09:33:20.8553","+44:17:05.4,+44:17:05.523","-6","2","917,793.27","992.589","2.2746e-05","8.44896"
"SDSSJ140306.54+145005.0","-14.3915","-0.0689,-0.17906","A","14:03:06.54,14:03:06.5428","+14:50:05,+14:50:04.9257","-3.132","-1.731","279","951.374","0.150512","60.9885"
"GaiaDR2 491207","-10.0216","1.6133","","01:50:02.7372","-54:25:00.1771","-101.332","-246.802","","883.405","0.0440152","0.73511"
"HVS20","-15.0745","0.3504,-0.24193","A","11:36:37.13,11:36:37.137","+03:31:06.84,+03:31:06.9187","0.453","0.569","504,512.1","876.97","0.00401658","75.9537"
"GaiaDR2 154001","-10.6772","1.0123,0.56498","G5","12:03:54.5823","+46:45:29.9388","-82.028","-118.287","-194.89","873.276","0.00101683","1.62005"
"GD492","-8.53721","0.2303","","14:06:35.45,14:06:35.2268","+74:18:58.0,+74:19:00.3176","-56","148","497.6,499","845.106","0.000118295","0.61869"
"J1603-6613","-8.75136","0.1431","","16:03:04.0585","-66:13:26.883","39.813","-7.06","-485","837.35","0.00031728","1.99696"
"HVS16","-14.8506","-0.2071,-0.26511","A, B","12:25:23.4,12:25:23.4031","+05:22:33.84,+05:22:33.8,+05:22:33.8917","-1.895","-1.145","429.8,443","830.882","0.0274158","71.7097"
"GaiaDR2 368538","-12.7686","0.9300,-6.46443","","12:59:05.155","-02:32:49.9046","26.92","-134.331","","828.433","0.0220159","1.47161"
"HVS3","-17.7544","-0.4023","B","04:38:12.8,04:38:12.7843","-54:33:12,-54:33:11.8101","-0.6","-6.2","723","821.48","2.2746e-05","61.6395"
"SDSSJ154556.10+243708.9","-14.4619","0.3223,-0.18961","A","15:45:56.1,15:45:56.0964","+24:37:08.9,+24:37:08.8012","-0.867","-1.09","193","810.1","0.154912","88.4326"
"GaiaDR2 384145","-11.6296","0.8623,0.46588","G7","09:34:09.2098","+01:35:16.7017","7.288","-81.394","-7.7706","807.376","0.0243159","2.51217"
"GaiaDR2 294666","-12.0028","1.0916","","06:44:34.7473","-17:02:51.0142","54.424","11.058","","806.278","0.0276158","3.24127"
"GaiaDR2 204726","-10.3402","1.4479","","19:37:32.4976","+34:26:22.2201","-0.26","96.358","","784.985","0.0132162","1.57803"
"GaiaDR2 405574","-7.47204","2.0878","","17:51:45.3032","-31:14:04.1791","119.838","102.689","","782.573","0.0128163","0.725177"
"GaiaDR2 669885","-11.8457","0.8056","","20:00:27.7305","-34:21:43.6551","-38.966","-86.57","","763.959","0.079814","2.22454"
"HVS21","-15.5005","-0.1681,-0.31723","B","10:34:18.25,10:34:18.2556","+48:11:34.57,+48:11:34.6071","0.099","-0.263","355,356.8","751.575","0.00281664","113.102"
